iter	Passed	Remaining
299	1609	3756
300	1615	3750
301	1619	3743
302	1624	3736
303	1630	3731
304	1635	3725
305	1639	3719
306	1645	3715
307	1651	3709
308	1655	3703
309	1660	3697
310	1666	3692
311	1671	3685
312	1676	3679
313	1681	3673
314	1686	3666
315	1690	3659
316	1695	3653
317	1700	3647
318	1705	3641
319	1711	3636
320	1716	3630
321	1720	3623
322	1726	3618
323	1731	3613
324	1736	3606
325	1741	3599
326	1747	3595
327	1752	3590
328	1758	3585
329	1763	3580
330	1768	3575
331	1773	3569
332	1779	3563
333	1783	3556
334	1788	3549
335	1793	3544
336	1798	3538
337	1803	3531
338	1808	3526
339	1814	3521
340	1818	3514
341	1823	3508
342	1829	3503
343	1833	3497
344	1838	3490
345	1844	3486
346	1849	3480
347	1854	3474
348	1859	3469
349	1865	3463
350	1869	3456
351	1874	3451
352	1880	3445
353	1884	3439
354	1889	3433
355	1894	3427
356	1899	3422
357	1905	3416
358	1910	3411
359	1915	3405
360	1920	3399
361	1926	3394
362	1930	3388
363	1935	3381
364	1940	3375
365	1945	3370
366	1950	3364
367	1956	3360
368	1961	3354
369	1966	3348
370	1971	3342
371	1976	3337
372	1981	3330
373	1986	3324
374	1991	3318
375	1995	3312
376	2000	3305
377	2005	3300
378	2011	3295
379	2015	3288
380	2020	3283
381	2026	3277
382	2030	3271
383	2035	3265
384	2040	3260
385	2046	3254
386	2050	3248
387	2056	3243
388	2061	3237
389	2065	3231
390	2071	3225
391	2075	3219
392	2080	3213
393	2085	3207
394	2091	3203
395	2096	3198
396	2101	3191
397	2107	3187
398	2112	3181
399	2117	3176
400	2123	3171
401	2128	3165
402	2132	3159
403	2137	3153
404	2142	3147
405	2147	3142
406	2152	3136
407	2157	3130
408	2162	3124
409	2166	3117
410	2171	3112
411	2176	3106
412	2181	3100
413	2186	3094
414	2191	3089
415	2196	3083
416	2201	3077
417	2206	3072
418	2211	3066
419	2216	3060
